interval,dataset,mean_change,median_change,std_dev,q1,q3,min,max,n_users,mean_weight,median_weight
0,raw,,,,91.625584,122.46984,33.63,215.4562,1000,109.42512195462668,105.39471861262695
0,filtered,,,,91.625584,122.46984,33.63,215.4562,1000,109.42512195462668,105.39471861262695
30,raw,-1.0361962643808151,-1.0220199694824288,7.839363035723536,89.6,121.56268079,40.823001861572266,213.0,612,107.98218377499447,104.63000183105468
30,filtered,-1.0361962643808151,-1.0220199694824288,7.839363035723536,89.6,121.56268079,40.823001861572266,213.0,612,107.98218377499447,104.63000183105468
60,raw,-2.9409396650017587,-2.3648840000000035,7.388516769856006,88.93200416564942,119.2,34.5,200.8979385464118,636,105.93352651025447,103.4089575017334
60,filtered,-2.9409396650017587,-2.3648840000000035,7.388516769856006,88.93200416564942,119.2,34.5,200.8979385464118,636,105.93352651025447,103.4089575017334
90,raw,-5.102326843217107,-3.3567917690000044,11.052360936366485,87.825,118.425,33.0,195.498152,638,105.1468285985276,103.40948800000001
90,filtered,-5.102326843217107,-3.3567917690000044,11.052360936366485,87.825,118.425,33.0,195.498152,638,105.1468285985276,103.40948800000001
120,raw,-6.187608883112277,-4.998211999999995,9.694616729528525,87.097416,117.025,42.0,201.7,588,104.33252790367841,102.20564023432618
120,filtered,-6.187608883112277,-4.998211999999995,9.694616729528525,87.097416,117.025,42.0,201.7,588,104.33252790367841,102.20564023432618
150,raw,-8.070665804740969,-6.9709688386484245,11.688721968144794,84.6725009918213,113.511398,31.0,198.0,548,101.5110045301061,99.06950378417969
150,filtered,-8.070665804740969,-6.9709688386484245,11.688721968144794,84.6725009918213,113.511398,31.0,198.0,548,101.5110045301061,99.06950378417969
180,raw,-9.48775829751835,-7.866797802734368,12.181419857160563,83.58900451660156,113.5,46.8,193.5,465,100.86796025497384,97.3
180,filtered,-9.48775829751835,-7.866797802734368,12.181419857160563,83.58900451660156,113.5,46.8,193.5,465,100.86796025497384,97.3
210,raw,-10.63294760062751,-9.547063885,12.884755323725654,82.49618975366211,112.234306,36.7,176.05,394,98.99235728526044,96.16154322
210,filtered,-10.63294760062751,-9.547063885,12.884755323725654,82.49618975366211,112.234306,36.7,176.05,394,98.99235728526044,96.16154322
240,raw,-12.37073209906706,-11.8734743803711,11.639055092347734,80.371446,111.925,33.1,166.19829460651238,268,98.01708442403573,94.63236311737296
240,filtered,-12.37073209906706,-11.8734743803711,11.639055092347734,80.371446,111.925,33.1,166.19829460651238,268,98.01708442403573,94.63236311737296
270,raw,-15.448161528963578,-13.455329399999982,13.56203707839667,76.475,104.6002513885498,54.1,163.2932532,160,92.92098021714223,88.2
270,filtered,-15.448161528963578,-13.455329399999982,13.56203707839667,76.475,104.6002513885498,54.1,163.2932532,160,92.92098021714223,88.2
300,raw,-15.71942026285543,-14.641680000000008,12.422428042268482,77.1,110.222856,57.24335570974594,164.15507870300002,133,94.20742942135509,90.3
300,filtered,-15.71942026285543,-14.641680000000008,12.422428042268482,77.1,110.222856,57.24335570974594,164.15507870300002,133,94.20742942135509,90.3
330,raw,-17.25831153691065,-15.785572000000002,13.89190315371276,78.553562,110.222856,35.6,172.36496,122,94.59301410243361,91.6530905024414
330,filtered,-17.25831153691065,-15.785572000000002,13.89190315371276,78.553562,110.222856,35.6,172.36496,122,94.59301410243361,91.6530905024414
360,raw,-17.4877978017664,-16.170491030499996,15.045734949448653,78.69821200000001,109.453918,57.152592,171.74600219726562,110,95.46073376186996,92.98636
360,filtered,-17.4877978017664,-16.170491030499996,15.045734949448653,78.69821200000001,109.453918,57.152592,171.74600219726562,110,95.46073376186996,92.98636
