interval,dataset,mean_change,median_change,std_dev,q1,q3,min,max,n_users,mean_weight,median_weight
0,raw,,,,90.35570319018555,123.60382000000001,66.224432,200.487664,100,109.26646202434102,103.418976
0,filtered,,,,90.35570319018555,123.60382000000001,66.224432,200.487664,100,109.26646202434102,103.418976
30,raw,-1.288596368402274,-0.8996101913780805,3.0905375434742166,90.06675720214844,115.7,64.41011654,188.694272,54,106.98415700426628,104.09936400000001
30,filtered,-1.288596368402274,-0.8996101913780805,3.0905375434742166,90.06675720214844,115.7,64.41011654,188.694272,54,106.98415700426628,104.09936400000001
60,raw,-2.539379538669827,-2.459181225097659,4.3809819830535455,86.34825057983397,116.41522073375,61.23492,185.065536,62,104.72891993657495,101.64871199999999
60,filtered,-2.539379538669827,-2.459181225097659,4.3809819830535455,86.34825057983397,116.41522073375,61.23492,185.065536,62,104.72891993657495,101.64871199999999
90,raw,-4.929756034602046,-3.733610750976567,6.772968738854993,90.6,120.92772584200002,53.3,178.71539306640625,61,107.91992902476149,105.52300262451172
90,filtered,-4.929756034602046,-3.733610750976567,6.772968738854993,90.6,120.92772584200002,53.3,178.71539306640625,61,107.91992902476149,105.52300262451172
120,raw,-6.442570873458571,-5.270077131347662,7.031787013486935,85.27500228881836,118.10667877197267,64.04724125974595,178.21644592285156,59,105.27213201197118,104.0999984741211
120,filtered,-6.442570873458571,-5.270077131347662,7.031787013486935,85.27500228881836,118.10667877197267,64.04724125974595,178.21644592285156,59,105.27213201197118,104.0999984741211
150,raw,-8.910892181730802,-6.984463780812476,16.60472610641498,81.60600280761719,112.8,51.7,173.68051147460938,57,101.8684524903005,100.8
150,filtered,-8.910892181730802,-6.984463780812476,16.60472610641498,81.60600280761719,112.8,51.7,173.68051147460938,57,101.8684524903005,100.8
180,raw,-9.612448091223138,-9.078653585737086,6.802563488328274,80.30851019711892,112.85543823242188,60.327736,170.5,50,101.50801880449255,99.28500366210938
180,filtered,-9.612448091223138,-9.078653585737086,6.802563488328274,80.30851019711892,112.85543823242188,60.327736,170.5,50,101.50801880449255,99.28500366210938
210,raw,-10.148197742162843,-10.942228337890626,6.94325177329173,79.12124901099293,110.086801044,60.87209466974594,167.10342910799997,44,97.52778809387773,92.51770773346456
210,filtered,-10.148197742162843,-10.942228337890626,6.94325177329173,79.12124901099293,110.086801044,60.87209466974594,167.10342910799997,44,97.52778809387773,92.51770773346456
240,raw,-14.084006935454564,-12.908914687744137,6.947592528677167,75.37750015258788,105.00654800000001,58.3,166.014672,26,92.92695218375368,88.68353785780747
240,filtered,-14.084006935454564,-12.908914687744137,6.947592528677167,75.37750015258788,105.00654800000001,58.3,166.014672,26,92.92695218375368,88.68353785780747
270,raw,-17.95924359609527,-16.32493191064453,15.565697578790727,67.68703460256351,99.43749771118165,57.4,163.29312,18,88.00488751501582,78.69999999999999
270,filtered,-17.95924359609527,-16.32493191064453,15.565697578790727,67.68703460256351,99.43749771118165,57.4,163.29312,18,88.00488751501582,78.69999999999999
300,raw,-14.961359131347916,-15.994831910644535,7.881676127068832,66.5419598865,111.71749725341797,57.24335570974594,164.15507870300002,16,92.79509036865208,85.732404
300,filtered,-14.961359131347916,-15.994831910644535,7.881676127068832,66.5419598865,111.71749725341797,57.24335570974594,164.15507870300002,16,92.79509036865208,85.732404
330,raw,-16.457674252470447,-18.45543270410156,12.46617128095036,73.736428,100.25940164794922,58.96696,156.7550048828125,14,91.27042574752956,92.8010025024414
330,filtered,-16.457674252470447,-18.45543270410156,12.46617128095036,73.736428,100.25940164794922,58.96696,156.7550048828125,14,91.27042574752956,92.8010025024414
360,raw,-19.44020417594297,-21.957458415156246,14.081864621551329,69.51301618,104.61916566210937,63.049288,133.356048,10,90.46513742405702,90.92350006103516
360,filtered,-19.44020417594297,-21.957458415156246,14.081864621551329,69.51301618,104.61916566210937,63.049288,133.356048,10,90.46513742405702,90.92350006103516
