user_id,filtered_count,reference_count,difference,percent_change
001adb56-40a5-4ef2-a092-e20915e0fb81,29,30,-1,-3.3333333333333335
0040872d-333a-4ace-8c5a-b2fcd056e65a,88,201,-113,-56.21890547263681
0068b2b6-e171-4611-bf4f-0fc88c9b949d,95,95,0,0.0
0069687c-c1b2-420e-bfae-009a284d13fe,53,53,0,0.0
00775c99-feba-4683-af8b-21c493841508,201,201,0,0.0
00879ed6-bbf9-4c63-8a28-4709c89c0b2d,323,323,0,0.0
00a65477-b39a-4e7f-9ffe-8d20c77e7008,28,28,0,0.0
00b5a402-b404-4794-a3e5-98e5f038a38b,23,23,0,0.0
00cf2ed2-3285-4901-82fc-b11876e79b29,53,53,0,0.0
00e76445-7a74-4e39-b48d-3980d2186604,103,103,0,0.0
00e96965-7bc0-43e4-bafa-fb7a0b573cf3,138,140,-2,-1.4285714285714286
00f0ded0-982e-450c-9ea2-568ca05e6f3f,76,76,0,0.0
00fa08ec-da9c-4206-87fb-cbe5097ae173,83,83,0,0.0
00fbc4b2-8c53-45e0-b367-059efbbc31c3,232,232,0,0.0
010c142c-4831-4e23-803a-9a0030f3e582,65,81,-16,-19.753086419753085
010fbe98-e372-48ec-b46b-b99093b028ad,85,85,0,0.0
011366d4-1cb9-423a-a3ca-5d249966e549,20,21,-1,-4.761904761904762
012ba2fc-3aa6-4426-a791-924873191637,62,62,0,0.0
012e3d9e-146e-4974-98ff-01997a2045f8,38,38,0,0.0
013fa9e8-3538-41b7-b2f8-fc1ab30c6d00,235,235,0,0.0
01483f61-f28c-4bb9-afc2-55fc7202ab45,23,23,0,0.0
015f1bf9-a3a5-44ba-9e6c-cfa859d8ccc0,22,22,0,0.0
01672f42-568b-4d49-abbc-eee60d87ccb2,71,71,0,0.0
0167ca93-634b-46c7-b84a-b80d0479b24d,141,141,0,0.0
016f3484-bdae-443e-ab78-d2402e805d32,59,59,0,0.0
017b15d2-4824-4246-b168-0c24ccd98f4b,38,38,0,0.0
01858e22-5465-4af5-a25e-4765dd5205b6,79,80,-1,-1.25
019a504f-3376-46eb-ace1-97b44979a5aa,299,300,-1,-0.33333333333333337
019ce20c-575d-4d5f-b912-f7817f20bbe6,127,127,0,0.0
01a34e78-622e-4c49-b44c-8b4896a77699,87,87,0,0.0
01a5bbbe-0eee-422b-886c-1625bc032652,20,20,0,0.0
01b77681-2fe5-4ccb-9257-60ade9c188e0,171,171,0,0.0
01b7e42d-16dd-4f28-b2d6-3043346b27ec,54,54,0,0.0
01c39cb0-85ed-4d34-9b33-24d30766c156,92,95,-3,-3.1578947368421053
01c48b62-577f-4b00-afad-46b65f67661d,501,501,0,0.0
01e5b8da-7c51-458e-8219-ac2be94fda94,136,136,0,0.0
01ef881e-ebd6-4016-9791-17a88a536fb4,66,66,0,0.0
02026b1d-455d-44aa-a045-1ec0a91fc226,20,20,0,0.0
02060173-e484-4b1c-b51d-3349a1409559,184,184,0,0.0
020ba436-8c1d-4c4f-abfc-405a68083eb0,144,144,0,0.0
